Date,BTC-USD,GLD,SPY,TLT
2021-11-04,61452.23046875,167.64999389648438,440.1130065917969,127.427978515625
2021-11-05,61125.67578125,169.83999633789062,441.6400146484375,129.3337860107422
2021-11-08,67566.828125,170.4499969482422,442.0170593261719,129.0911865234375
2021-11-09,66971.828125,171.2899932861328,440.5560302734375,130.77178955078125
2021-11-10,64995.23046875,173.14999389648438,437.0118408203125,128.38082885742188
2021-11-11,64949.9609375,174.1199951171875,437.1531677246094,128.1902618408203
2021-11-12,64155.94140625,174.4499969482422,440.45233154296875,127.62721252441406
2021-11-15,63557.87109375,174.17999267578125,440.6031799316406,126.0246353149414
2021-11-16,60161.24609375,172.9199981689453,442.346923828125,125.70415496826172
2021-11-17,60368.01171875,174.5,441.2724609375,126.70033264160156
2021-11-18,56942.13671875,173.94000244140625,442.771240234375,127.17674255371094
2021-11-19,58119.578125,172.61000061035156,441.9793701171875,128.5194549560547
2021-11-22,56289.2890625,168.74000549316406,440.73516845703125,127.01219940185547
2021-11-23,57569.07421875,167.27999877929688,441.31951904296875,125.17565155029297
2021-11-24,56280.42578125,167.1199951171875,442.497802734375,127.1854248046875
2021-11-26,53569.765625,166.85000610351562,432.62872314453125,130.3992462158203
2021-11-29,57806.56640625,166.6199951171875,437.935546875,129.35108947753906
2021-11-30,57005.42578125,165.5,429.4144287109375,131.31753540039062
2021-12-01,57229.828125,166.16000366210938,424.64483642578125,132.1275634765625
2021-12-02,56477.81640625,165.24000549316406,431.1488342285156,132.29238891601562
2021-12-03,53598.24609375,166.6300048828125,427.3972473144531,133.8708953857422
2021-12-06,50582.625,166.22000122070312,432.4591064453125,132.03216552734375
2021-12-07,50700.0859375,166.80999755859375,441.40435791015625,130.96534729003906
2021-12-08,50504.796875,166.89999389648438,442.57318115234375,128.70167541503906
2021-12-09,47672.12109375,165.8800048828125,439.58514404296875,129.42149353027344
2021-12-10,47243.3046875,166.5800018310547,443.72314453125,129.1093292236328
2021-12-13,46737.48046875,167.0,439.7925109863281,131.01739501953125
2021-12-14,46612.6328125,165.44000244140625,436.7667236328125,130.70523071289062
2021-12-15,48896.72265625,166.14999389648438,443.59130859375,129.4475860595703
2021-12-16,47665.42578125,168.16000366210938,439.6794738769531,129.49790954589844
2021-12-17,46202.14453125,167.8000030517578,434.9999694824219,130.96534729003906
2021-12-20,46880.27734375,167.08999633789062,430.37445068359375,129.9841766357422
2021-12-21,48936.61328125,167.02000427246094,438.0174865722656,129.48924255371094
2021-12-22,48628.51171875,168.58999633789062,442.3970947265625,130.08834838867188
2021-12-23,50784.5390625,168.97000122070312,445.1497497558594,128.9595947265625
2021-12-27,50640.41796875,169.3699951171875,451.4494934082031,129.27218627929688
